price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
319,1,0,,1,81,0
390,5,10,0.15,1,21,0
579,1,1,0.02,1,362,0
600,1,144,2.12,2,365,2
315,1,13,0.28,3,233,0
200,1,10,0.15,1,179,0
1000,2,2,0.03,1,365,0
323,15,54,0.85,2,179,1
300,2,79,1.15,3,325,4
466,3,84,1.22,2,179,16
3042,1,1,0.13,1,365,1
200,1,49,0.96,1,2,0
280,1,37,0.55,1,360,11
545,1,19,0.31,6,288,2
304,1,0,,1,83,0
450,5,0,,1,39,0
4134,1,0,,1,365,0
400,1,34,0.5,1,73,0
550,1,21,1.1,2,355,15
400,3,11,0.19,2,264,3
505,1,8,0.14,2,179,0
300,1,42,0.78,2,359,32
306,3,4,0.33,3,359,4
991,1,3,0.08,7,362,1
2423,2,0,,9,364,0
400,2,0,,2,89,0
330,1,1,0.02,1,267,0
358,2,115,1.73,3,135,34
500,2,143,2.13,1,123,15
350,4,12,0.18,5,172,0
519,3,34,0.74,3,170,4
2500,5,0,,1,358,0
597,1,0,,1,364,0
2555,2,4,0.06,8,364,0
300,2,18,0.27,1,338,0
850,1,2,0.5,1,179,2
459,1,85,1.28,23,298,7
550,1,0,,1,358,0
442,1,189,2.85,23,357,18
280,2,7,0.16,1,108,0
230,1,23,0.68,2,18,0
405,1,0,,10,0,0
4699,1,4,0.06,1,0,0
399,2,49,0.74,3,357,4
221,1,99,1.51,3,354,27
400,1,138,2.17,1,293,23
250,2,5,0.08,3,359,0
1000,2,0,,1,365,0
900,1,232,3.53,4,75,76
1146,1,95,1.54,4,361,27
450,2,42,0.65,1,365,1
485,1,1,0.02,1,0,0
1068,1,68,1.05,4,363,40
210,1,25,0.38,1,140,0
303,2,61,0.91,1,89,0
466,2,7,0.11,1,90,0
750,2,4,0.06,3,178,3
284,2,156,2.34,3,151,37
235,1,20,0.3,3,342,0
400,4,67,1.03,2,175,1
506,1,83,1.24,1,68,41
