,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
4344,1088.0,2.0,18.0,0.7,1.0,354,16.0
4345,1200.0,1.0,0.0,1.3,4.0,364,0.0
4346,623.0,1.0,2.0,0.07,29.0,333,1.0
4347,1200.0,1.0,0.0,1.3,4.0,365,0.0
4348,850.0,1.0,2.0,0.07,1.0,365,0.0
4349,742.2,1.0,0.0,1.3,1.0,325,0.0
4350,202.0,1.0,4.0,1.54,8.0,39,4.0
4351,215.0,1.0,16.0,0.57,8.0,59,12.0
4352,7673.0,1.0,0.0,1.3,1.0,365,0.0
4353,400.0,3.0,1.0,0.29,1.0,180,1.0
4354,346.0,2.0,25.0,0.9,2.0,327,22.0
4355,254.0,3.0,23.0,0.88,1.0,84,14.0
4356,361.0,1.0,37.0,1.34,2.0,363,26.0
4357,354.0,1.0,12.0,0.68,3.0,77,2.0
4358,700.0,2.0,10.0,0.36,1.0,49,5.0
4359,350.0,2.0,5.0,0.18,1.0,350,2.0
4360,245.0,7.0,0.0,1.3,2.0,365,0.0
4361,400.0,1.0,1.0,0.04,1.0,364,0.0
4362,650.0,2.0,0.0,1.3,1.0,365,0.0
4363,600.0,1.0,23.0,1.71,5.0,358,19.0
4364,667.0,3.0,1.0,0.04,1.0,90,0.0
4365,225.0,6.0,0.0,1.3,1.0,365,0.0
4366,300.0,3.0,0.0,1.3,1.0,362,0.0
4367,359.0,2.0,1.0,0.04,1.0,365,0.0
4368,450.0,1.0,13.0,0.47,1.0,365,11.0
4369,220.0,3.0,0.0,1.3,2.0,90,0.0
4370,399.0,1.0,1.0,0.04,1.0,90,0.0
4371,295.0,2.0,2.0,0.07,1.0,60,0.0
4372,250.0,2.0,7.0,0.52,1.0,264,6.0
4373,750.0,3.0,1.0,0.04,1.0,90,0.0
4374,2000.0,1.0,0.0,1.3,1.0,268,0.0
4375,260.0,3.0,5.0,0.38,2.0,365,4.0
4376,230.0,4.0,4.0,0.16,3.0,346,2.0
4377,750.0,3.0,1.0,0.04,1.0,90,0.0
4378,500.0,2.0,0.0,1.3,1.0,365,0.0
