id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11924221,"Confortable, silencioso, limpio - wifi 100 megas",63635473,Laura,,Parque Patricios,-34.63636,-58.39716,Entire home/apt,2341,5,29,2022-06-05,0.65,1,89,8,
12882294,Del Pilar Ap,21769599,Cristina,,Retiro,-34.59253,-58.3853,Entire home/apt,5545,2,5,2018-06-10,0.08,1,240,0,
11928896,4 guests palermo buenos aires new,1482817,Lorena,,Palermo,-34.58679,-58.43363,Entire home/apt,16020,3,0,,,20,294,0,
11929156,Bright 2br apartment in Recoleta!,59068928,Camila,,Recoleta,-34.59703,-58.40008,Entire home/apt,7024,1,172,2020-03-02,2.30,5,172,0,
13273907,"Buenos Aires, Simple Room for one / Cuarto Simple",61278481,Antonia,,Monserrat,-34.6113,-58.38441,Private room,1602,2,29,2018-10-06,0.40,1,88,0,
13280084,Studio Apartment in Palermo´s Best Area,52336905,Diego,,Palermo,-34.57949,-58.43706,Entire home/apt,4489,3,192,2022-06-01,2.62,1,194,21,
12899468,Departamento Antiguo en Recoleta,70320764,Santiago,,Recoleta,-34.59171,-58.4043,Entire home/apt,7500,3,28,2020-04-05,0.39,1,38,0,
13283562,La palmera de babylonia,74873804,Keila,,Saavedra,-34.55304,-58.48304,Private room,1848,2,0,,,1,88,0,
11940292,"Hermoso departamento, todo confort",63746380,Marta Elena,,Recoleta,-34.58932,-58.39962,Entire home/apt,10500,3,39,2019-12-21,0.51,3,79,0,
12900361,Exclusivo departamento en Recoleta,21730279,Silvia,,Recoleta,-34.59393,-58.38912,Entire home/apt,5545,4,15,2022-05-11,0.23,4,347,5,
11942681,Luxury Apartment w/ private  patio chic area,1875949,Diego,,Palermo,-34.57899,-58.41296,Entire home/apt,11707,3,59,2022-06-04,0.79,67,116,24,
13294482,Best location in Palermo Soho with amazing view,26988723,Facundo,,Palermo,-34.58901,-58.42438,Entire home/apt,8626,2,255,2022-04-04,3.48,2,77,21,
12901812,Cool Apartment un Cañitas,15466789,Juan,,Palermo,-34.56475,-58.43679,Entire home/apt,10475,7,0,,,53,0,0,
13297923,Chic & Stylish 1 b apt in the heart of Las Cañitas,73225337,Naty,,Palermo,-34.56791,-58.43446,Entire home/apt,6778,2,3,2021-01-24,0.09,1,0,0,
13874595,Loft en Palermo para 4 personas con piscina!,55553719,For Rent Argentina,,Palermo,-34.5819,-58.40705,Entire home/apt,12323,5,0,,,118,335,0,
12904952,Depto  2 amb. A la calle 6 * piso,70712464,Monica Liliana,,Colegiales,-34.56682,-58.4515,Entire home/apt,4436,1,50,2020-05-13,0.68,1,173,0,
13890595,Bright Spacious Studio Apartment in Palermo Soho,81879807,Naoko,,Palermo,-34.59133,-58.43357,Entire home/apt,5545,2,0,,,1,0,0,
13298536,Semipiso en Microcentro.,8048818,Hernan,,Monserrat,-34.61136,-58.37842,Private room,2218,6,0,,,1,173,0,
12911267,Moderno apartamento para 3 personas,55553719,For Rent Argentina,,Palermo,-34.5737,-58.44036,Entire home/apt,11707,1,0,,,118,172,0,
