id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42115523,Room in Heart of Colonia Roma,14686608,Andrea,,Cuauhtémoc,19.42071,-99.15905,Private room,1900,3,0,,,9,140,0,
42439718,Lujoso departamento para eventos en el WTC,51622446,Alberto,,Benito Juárez,19.39565,-99.17659,Entire home/apt,2379,1,13,2022-06-10,0.81,8,362,12,
42439726,Beautiful and loving room  in a luxury complex,3372038,Lizie,,Coyoacán,19.34255,-99.18248,Private room,771,1,0,,,1,270,0,
42355633,Nice Oldie Condesa Apartament,95897303,Jose,,Cuauhtémoc,19.4045,-99.16935,Entire home/apt,912,1,2,2020-02-26,0.07,1,88,0,
42441616,Casa en renta,226378875,Pedro,,Tláhuac,19.29153,-99.04857,Entire home/apt,3042,1,0,,,1,365,0,
42356023,Depa Cito,123973498,Covadonga,,Benito Juárez,19.38138,-99.14983,Entire home/apt,1100,2,9,2022-06-09,0.32,1,0,2,
42229424,Pintoresco departamento en Hipódromo Condesa,237964714,Gladys,,Cuauhtémoc,19.41592,-99.16764,Entire home/apt,1167,2,82,2022-06-11,2.87,2,116,53,
42442318,Por la seguridad y gran espacio,176064670,Tykyz,,Miguel Hidalgo,19.40881,-99.18913,Private room,250,7,0,,,1,365,0,
42229817,Cozy & Perfect Apartment! @ CDMX near Reforma Av!!,302431514,Arely,,Cuauhtémoc,19.43091,-99.15428,Entire home/apt,1000,4,37,2022-05-31,1.34,29,31,23,
42358040,"Habitación 2, Casa Azul, Arte y Cultura",324955639,Roberto,,Coyoacán,19.33007,-99.165886,Private room,290,2,1,2022-06-10,1,3,180,1,
42360187,Room w view & illuminated,47189073,Carolina,,Cuauhtémoc,19.419,-99.17786,Private room,363,30,0,,,1,294,0,
42444715,El Cuartito,260836402,Maria,,Miguel Hidalgo,19.41641,-99.18312,Entire home/apt,973,2,7,2022-06-06,2.84,1,351,7,
42360369,"""Miyana"" 2/Room Depto  at  Polanco",285087802,Lomah,,Miguel Hidalgo,19.44062,-99.20012,Entire home/apt,1880,2,19,2022-06-06,0.68,13,41,6,
42230860,"Beautiful & Bright 2BR Apt @Cibeles Fountain, Roma",11158532,Rubén,,Cuauhtémoc,19.42062,-99.16662,Entire home/apt,2500,3,10,2021-11-21,0.36,3,117,2,
42230912,Espacio ideal para prolongada o estudio,335486188,Roberto Carlos,,Cuauhtémoc,19.43212,-99.16163,Entire home/apt,545,1,0,,,1,0,0,
42449813,Casita linda,46256476,Ricardo Rene,,Miguel Hidalgo,19.42736,-99.1807,Private room,950,3,0,,,1,179,0,
42231250,Luxurious Bedroom with Private Bathroom & Terrace,11158532,Rubén,,Cuauhtémoc,19.42073,-99.16666,Private room,950,3,1,2020-03-03,0.04,3,89,0,
42231979,Fully equipped charming Pent House,233716919,Tonatiuh,,Benito Juárez,19.39927,-99.1595,Entire home/apt,550,2,7,2021-06-30,0.25,1,0,1,
42360548,Green Coyoacán Depto completo.,136203553,Victoria,,Coyoacán,19.35156,-99.1484,Entire home/apt,784,1,97,2022-06-07,3.45,9,306,42,
42452601,Departamento 2 cuartos,91265490,HOMi,,Cuauhtémoc,19.43219,-99.16815,Entire home/apt,951,1,78,2022-02-13,2.75,109,335,35,
42361285,Hotel Itto Condesa - Deluxe Queen Room,50295114,George,,Cuauhtémoc,19.41584,-99.17773,Private room,1431,1,33,2022-05-31,1.17,5,172,28,
42233247,Hermoso Departamento PH cerca de Reforma CDMX,177755056,Alejandra,,Cuauhtémoc,19.4283,-99.15168,Entire home/apt,1075,1,48,2022-05-29,1.68,4,348,35,
42452789,Suite doble,91265490,HOMi,,Cuauhtémoc,19.43253,-99.16908,Entire home/apt,929,1,164,2022-06-12,5.80,109,345,70,
42361867,Bonito Loft centro de Cuajimalpa CDMX - Santa Fe,115922212,Alberto,,Cuajimalpa de Morelos,19.35445,-99.29983,Entire home/apt,250,3,11,2022-05-15,0.40,4,344,4,
